date,temp_celsius,location,latitude,longitude
2017-02-27,6.0,Better_Zone_1,56.7,16.5
2017-02-28,5.3,Better_Zone_1,56.7,16.5
2017-03-01,3.6,Better_Zone_1,56.7,16.5
2017-03-02,3.1,Better_Zone_1,56.7,16.5
2017-03-03,3.6,Better_Zone_1,56.7,16.5
2017-03-04,3.1,Better_Zone_1,56.7,16.5
2017-03-05,1.8,Better_Zone_1,56.7,16.5
2017-03-06,-0.1,Better_Zone_1,56.7,16.5
2017-03-07,-1.3,Better_Zone_1,56.7,16.5
2017-03-08,-1.1,Better_Zone_1,56.7,16.5
2017-03-09,3.5,Better_Zone_1,56.7,16.5
2017-03-10,3.7,Better_Zone_1,56.7,16.5
2017-03-11,2.1,Better_Zone_1,56.7,16.5
2017-03-12,0.6,Better_Zone_1,56.7,16.5
2017-03-13,1.1,Better_Zone_1,56.7,16.5
2017-03-14,4.6,Better_Zone_1,56.7,16.5
2017-03-15,6.6,Better_Zone_1,56.7,16.5
2017-03-16,6.1,Better_Zone_1,56.7,16.5
2017-03-17,6.0,Better_Zone_1,56.7,16.5
2017-03-18,1.8,Better_Zone_1,56.7,16.5
2017-03-19,2.0,Better_Zone_1,56.7,16.5
2017-03-20,4.0,Better_Zone_1,56.7,16.5
2017-03-21,6.3,Better_Zone_1,56.7,16.5
2017-03-22,5.5,Better_Zone_1,56.7,16.5
2017-03-23,5.2,Better_Zone_1,56.7,16.5
2017-03-24,4.7,Better_Zone_1,56.7,16.5
2017-03-25,6.1,Better_Zone_1,56.7,16.5
2017-03-26,7.0,Better_Zone_1,56.7,16.5
2017-03-27,9.6,Better_Zone_1,56.7,16.5
2017-03-28,5.9,Better_Zone_1,56.7,16.5
2017-03-29,3.8,Better_Zone_1,56.7,16.5
2017-03-30,3.6,Better_Zone_1,56.7,16.5
2017-03-31,9.3,Better_Zone_1,56.7,16.5
2017-04-01,10.9,Better_Zone_1,56.7,16.5
2017-04-02,8.9,Better_Zone_1,56.7,16.5
2017-04-03,6.0,Better_Zone_1,56.7,16.5
2017-04-04,4.6,Better_Zone_1,56.7,16.5
2017-04-05,6.9,Better_Zone_1,56.7,16.5
2017-04-06,6.7,Better_Zone_1,56.7,16.5
2017-04-07,8.2,Better_Zone_1,56.7,16.5
2017-04-08,7.8,Better_Zone_1,56.7,16.5
2017-04-09,9.2,Better_Zone_1,56.7,16.5
2017-04-10,9.2,Better_Zone_1,56.7,16.5
2017-04-11,6.9,Better_Zone_1,56.7,16.5
2017-04-12,6.9,Better_Zone_1,56.7,16.5
2017-04-13,4.0,Better_Zone_1,56.7,16.5
2017-04-14,3.9,Better_Zone_1,56.7,16.5
2017-04-15,1.6,Better_Zone_1,56.7,16.5
2017-04-16,1.7,Better_Zone_1,56.7,16.5
2017-04-17,1.4,Better_Zone_1,56.7,16.5
2017-04-18,1.7,Better_Zone_1,56.7,16.5
2017-04-19,2.3,Better_Zone_1,56.7,16.5
2017-04-20,4.7,Better_Zone_1,56.7,16.5
2017-04-21,8.6,Better_Zone_1,56.7,16.5
2017-04-22,6.3,Better_Zone_1,56.7,16.5
2017-04-23,5.1,Better_Zone_1,56.7,16.5
2017-04-24,3.9,Better_Zone_1,56.7,16.5
2017-04-25,5.0,Better_Zone_1,56.7,16.5
2017-04-26,4.8,Better_Zone_1,56.7,16.5
2017-04-27,5.1,Better_Zone_1,56.7,16.5
2017-04-28,5.4,Better_Zone_1,56.7,16.5
2017-04-29,5.0,Better_Zone_1,56.7,16.5
2017-04-30,5.7,Better_Zone_1,56.7,16.5
2017-05-01,5.2,Better_Zone_1,56.7,16.5
2017-05-02,7.8,Better_Zone_1,56.7,16.5
2017-05-03,8.1,Better_Zone_1,56.7,16.5
2017-05-04,8.1,Better_Zone_1,56.7,16.5
2017-05-05,8.9,Better_Zone_1,56.7,16.5
2017-05-06,9.6,Better_Zone_1,56.7,16.5
2017-05-07,8.0,Better_Zone_1,56.7,16.5
2017-05-08,4.6,Better_Zone_1,56.7,16.5
